NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	37	0.6396152	2.0122	0.0	8.0E-4	0.001	3141	tags=51%, list=19%, signal=63%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	184	0.4993091	1.94605	0.0	4.0E-4	0.001	3600	tags=38%, list=22%, signal=48%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	58	0.5647737	1.9308227	0.0	2.6666664E-4	0.001	3589	tags=45%, list=22%, signal=57%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	206	0.47713596	1.8668953	0.0	6.301573E-4	0.003	3395	tags=39%, list=21%, signal=49%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	155	0.4407437	1.6950825	0.0010775862	0.004791342	0.028	3133	tags=34%, list=19%, signal=42%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	196	0.4320256	1.6884913	0.0	0.0047184946	0.033	3586	tags=37%, list=22%, signal=46%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	154	0.4353965	1.6552547	0.0	0.005768421	0.046	3440	tags=36%, list=21%, signal=45%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	204	0.41308293	1.6046803	0.0	0.010379177	0.092	4463	tags=42%, list=27%, signal=57%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	140	0.42222682	1.6017418	0.0	0.009683543	0.096	4725	tags=48%, list=29%, signal=67%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	213	0.39493465	1.5651305	0.0	0.013385867	0.14	3409	tags=29%, list=21%, signal=36%	
